id_rh,nilai_rh
RH1,50.3
RH2,50.7
RH3,51.3
RH4,51.4
RH5,52.2
RH6,52.7
RH7,54.1
RH8,54.2
RH9,54.7
RH10,55.4
RH11,56
RH12,57.2
RH13,58.3
RH14,59.2
RH15,59.9
RH16,60.8
RH17,61.6
RH18,61.8
RH19,62.3
RH20,63.4
RH21,64.2
RH22,65.1
RH23,65.8
RH24,66.2
RH25,66.7
RH26,67.3
RH27,67.5
RH28,68
RH29,68.1
RH30,68.6
RH31,68.6
RH32,68.7
RH33,68.7
RH34,68.8
RH35,69
RH36,69
RH37,69.1
RH38,68.9
RH39,69.1
RH40,69.2
RH41,69.4
RH42,69.3
RH43,69.4
RH44,69.2
RH45,69
RH46,69.2
RH47,69.3
RH48,69.3
RH49,69.5
RH50,69.4
RH51,69.5
RH52,69.5
RH53,69.3
RH54,69.4
RH55,69.4
RH56,69.3
RH57,69
RH58,68.7
RH59,68.5
RH60,51.3
RH61,52.4
RH62,51.6
RH63,50.9
RH64,68.2
RH65,67.4
RH66,67.4
RH67,67.3
RH68,67.2
RH69,67.2
RH70,66.8
RH71,66.7
RH72,66.4
RH73,65.5
RH74,64.9
RH75,64.2
RH76,63.6
RH77,62.9
RH78,62.3
RH79,61.6
RH80,60.9
RH81,60.3
RH82,59.8
RH83,59.5
RH84,59.2
RH85,58.5
RH86,58
RH87,57.6
RH88,57.1
RH89,56.6
RH90,56.3
RH91,56.1
RH92,56.2
RH93,56.4
RH94,56.8
RH95,57
RH96,57
RH97,56.8
RH98,56.6
RH99,56.3
RH100,56.1
RH101,55.9
RH102,55.6
RH103,55.4
RH104,55.3
RH105,55.1
RH106,55
RH107,54.9
RH108,54.8
RH109,54.8
RH110,54.9
RH111,54.9
RH112,55
RH113,55
RH114,55.1
RH115,55.3
RH116,55.5
RH117,55.7
RH118,55.8
RH119,56
RH120,56.2
RH121,56.3
RH122,56.4
RH123,56.5
RH124,56.6
RH125,56.8
RH126,57
RH127,57.1
RH128,57.3
RH129,57.3
RH130,57.4
RH131,57.5
RH132,57.6
RH133,57.6
RH134,57.7
RH135,57.9
RH136,58.1
RH137,58.3
RH138,58.5
RH139,58.7
RH140,59
RH141,59.1
RH142,59.2
RH143,59.2
RH144,59.3
RH145,59.3
RH146,59.4
RH147,59.4
RH148,59.5
RH149,59.6
RH150,59.7
RH151,59.8
RH152,59.9
RH153,60
RH154,60.1
RH155,60.1
RH156,60.2
RH157,60.3
RH158,60.4
RH159,60.4
RH160,60.4
RH161,60.6
RH162,60.7
RH163,60.7
RH164,60.8
RH165,60.8
RH166,60.9
RH167,60.9
RH168,61
RH169,61
RH170,61
RH171,61
RH172,61
RH173,61.1
RH174,61.1
RH175,61.2
RH176,61.2
RH177,61.2
RH178,61.1
RH179,61.1
RH180,61.1
RH181,61.1
RH182,61.1
RH183,61.1
RH184,61.1
RH185,61.2
RH186,61.2
RH187,61.2
RH188,61.2
RH189,61.3
RH190,61.3
RH191,61.4
RH192,61.4
RH193,61.4
RH194,61.5
RH195,61.5
RH196,61.6
RH197,61.6
RH198,61.6
RH199,61.7
RH200,61.7
RH201,61.8
RH202,61.8
RH203,61.9
RH204,61.9
RH205,61.9
RH206,61.9
RH207,61.6
RH208,60.7
RH209,59.9
RH210,60.5
RH211,60.8
RH212,60.7
RH213,60.4
RH214,60.2
RH215,59.9
RH216,59.7
RH217,59.5
RH218,59.3
RH219,59.1
RH220,58.9
RH221,58.7
RH222,58.6
RH223,58.5
RH224,58.3
RH225,58.1
RH226,57.9
RH227,57.8
RH228,57.7
RH229,57.6
RH230,57.5
RH231,57.5
RH232,57.6
RH233,57.7
RH234,57.4
RH235,57.2
RH236,57
RH237,56.8
RH238,56.5
RH239,56.2
RH240,56.1
RH241,55.7
RH242,55.5
RH243,55.3
RH244,55.2
RH245,54.9
RH246,54.6
RH247,54.2
RH248,54
RH249,53.8
RH250,53.6
RH251,53.5
RH252,53.2
RH253,53.1
RH254,53
RH255,53
RH256,53
RH257,53
RH258,52.8
RH259,49.6
RH260,42.7
RH261,41.9
RH262,42.2
RH263,43.1
RH264,44.9
RH265,46.2
RH266,47.2
RH267,48.1
RH268,48.9
RH269,49.5
RH270,50.2
RH271,50.7
RH272,51.3
RH273,51.7
RH274,52.1
RH275,52.5
RH276,52.7
RH277,52.9
RH278,53.1
RH279,53.4
RH280,53.8
RH281,54.4
RH282,54.9
RH283,55.4
RH284,55.9
RH285,56.3
RH286,56.6
RH287,56.8
RH288,57.1
RH289,57.3
RH290,57.5
RH291,57.6
RH292,57.7
RH293,57.9
RH294,58
RH295,58.2
RH296,58.3
RH297,58.4
RH298,58.5
RH299,58.6
RH300,58.7
RH301,58.7
RH302,58.8
RH303,58.8
RH304,58.9
RH305,59
RH306,59.1
RH307,59.2
RH308,59.3
RH309,59.4
RH310,59.4
RH311,59.6
RH312,59.7
RH313,59.8
RH314,59.9
RH315,59.9
RH316,60
RH317,60
RH318,60.1
RH319,60.1
RH320,60.2
RH321,60.2
RH322,60.2
RH323,60.3
RH324,60.3
RH325,60.3
RH326,60.4
RH327,60.4
RH328,60.4
RH329,60.5
RH330,60.6
RH331,60.7
RH332,60.7
RH333,60.8
RH334,60.9
RH335,61
RH336,61
RH337,61.1
RH338,61.2
RH339,61.3
RH340,61.4
RH341,61.4
RH342,61.5
RH343,61.6
RH344,61.7
RH345,61.7
RH346,61.8
RH347,61.9
RH348,61.9
RH349,61.8
RH350,61.4
RH351,60.7
RH352,60.3
RH353,59.5
RH354,60.4
RH355,60.8
RH356,60.8
RH357,60.6
RH358,60.6
RH359,60.6
RH360,60.5
RH361,60.3
RH362,60.1
RH363,59.8
RH364,59
RH365,58.5
RH366,57.9
RH367,57.2
RH368,56.3
RH369,55.2
RH370,54.2
RH371,53.5
RH372,52.8
RH373,52.2
RH374,51.7
RH375,51
RH376,50.7
RH377,50.5
RH378,50.2
RH379,50
RH380,49.9
RH381,49.5
RH382,49.3
RH383,49.6
RH384,49.6
RH385,49.8
RH386,49.9
RH387,49.9
RH388,49.9
RH389,49.7
RH390,49.8
RH391,49.8
RH392,49.8
RH393,50
RH394,50.2
RH395,50.3
RH396,50.5
RH397,50.6
RH398,50.9
RH399,51.1
RH400,51.1
RH401,51.2
RH402,51.2
RH403,51.4
RH404,51.4
RH405,51.5
RH406,51.4
RH407,51.2
RH408,51.5
RH409,51.7
RH410,51.7
RH411,51.8
RH412,51.8
RH413,51.7
RH414,51.3
RH415,50.6
RH416,50.3
RH417,50.2
RH418,50.4
RH419,50.2
RH420,50.4
RH421,50.6
RH422,50.9
RH423,51.3
RH424,51.6
RH425,51.9
RH426,52.2
RH427,52.4
RH428,52.6
RH429,52.7
RH430,53
RH431,53.1
RH432,53.3
RH433,53.5
RH434,53.7
RH435,53.8
RH436,53.9
RH437,54
RH438,54.1
RH439,54.1
RH440,54.2
RH441,54.3
RH442,54.4
RH443,54.5
RH444,54.6
RH445,54.7
RH446,54.8
RH447,55
RH448,55.1
RH449,55.2
RH450,55.4
RH451,55.5
RH452,55.7
RH453,55.9
RH454,56.1
RH455,56.2
RH456,56.4
RH457,56.5
RH458,56.6
RH459,56.8
RH460,56.9
RH461,57
RH462,57.1
RH463,57.2
RH464,57.2
RH465,57.4
RH466,57.4
RH467,57.5
RH468,57.6
RH469,57.6
RH470,57.7
RH471,57.8
RH472,57.9
RH473,58.1
RH474,58.2
RH475,58.3
RH476,58.5
RH477,58.6
RH478,58.8
RH479,58.9
RH480,59
RH481,59.2
RH482,59.3
RH483,59.4
RH484,59.5
RH485,59.6
RH486,59.7
RH487,59.8
RH488,59.9
RH489,59.9
RH490,60
