id_sun_r,nilai_sun_r
SR1,0.3
SR2,0.2
SR3,0.2
SR4,0.2
SR5,0.2
SR6,0.5
SR7,0.6
SR8,0.6
SR9,0.6
SR10,0.5
SR11,0.5
SR12,0.5
SR13,0.4
SR14,0.4
SR15,0.4
SR16,0.4
SR17,0.4
SR18,0.3
SR19,0.3
SR20,0.3
SR21,0.3
SR22,0.2
SR23,0.2
SR24,0.2
SR25,0.2
SR26,0.2
SR27,0.2
SR28,0.2
SR29,0.2
SR30,0.1
SR31,0.2
SR32,0.2
SR33,0.2
SR34,0.2
SR35,0.2
SR36,0.2
SR37,0.2
SR38,0.2
SR39,0.1
SR40,0.2
SR41,0.2
SR42,0.1
SR43,0.2
SR44,0.2
SR45,0.2
SR46,0.2
SR47,0.2
SR48,0.2
SR49,0.1
SR50,0.2
SR51,0.2
SR52,0.2
SR53,0.1
SR54,0.1
SR55,0.2
SR56,0.1
SR57,0.2
SR58,0.2
SR59,0.1
SR60,0.2
SR61,0.1
SR62,0.1
SR63,0.1
SR64,0.2
SR65,0.2
SR66,0.2
SR67,0.2
SR68,0.2
SR69,0.2
SR70,0.2
SR71,0.3
SR72,0.3
SR73,0.3
SR74,0.3
SR75,0.3
SR76,0.4
SR77,0.5
SR78,0.6
SR79,0.6
SR80,0.6
SR81,0.6
SR82,0.5
SR83,0.5
SR84,0.6
SR85,0.6
SR86,0.5
SR87,0.6
SR88,0.6
SR89,0.6
SR90,0.6
SR91,0.6
SR92,0.5
SR93,0.4
SR94,0.3
SR95,0.3
SR96,0.4
SR97,0.4
SR98,0.5
SR99,0.6
SR100,0.6
SR101,0.6
SR102,0.6
SR103,0.6
SR104,0.5
SR105,0.5
SR106,0.5
SR107,0.4
SR108,0.5
SR109,0.4
SR110,0.4
SR111,0.4
SR112,0.4
SR113,0.3
SR114,0.4
SR115,0.3
SR116,0.3
SR117,0.3
SR118,0.3
SR119,0.3
SR120,0.3
SR121,0.3
SR122,0.2
SR123,0.2
SR124,0.2
SR125,0.2
SR126,0.2
SR127,0.2
SR128,0.2
SR129,0.2
SR130,0.2
SR131,0.2
SR132,0.1
SR133,0.1
SR134,0.2
SR135,0.2
SR136,0.2
SR137,0.2
SR138,0.2
SR139,0.2
SR140,0.2
SR141,0.2
SR142,0.2
SR143,0.2
SR144,0.2
SR145,0.1
SR146,0.2
SR147,0.2
SR148,0.2
SR149,0.2
SR150,0.2
SR151,0.2
SR152,0.2
SR153,0.2
SR154,0.2
SR155,0.2
SR156,0.1
SR157,0.1
SR158,0.1
SR159,0.2
SR160,0.1
SR161,0.2
SR162,0.1
SR163,0.1
SR164,0.2
SR165,0.2
SR166,0.1
SR167,0.1
SR168,0.1
SR169,0.1
SR170,0.2
SR171,0.2
SR172,0.2
SR173,0.1
SR174,0.2
SR175,0.2
SR176,0.2
SR177,0.2
SR178,0.2
SR179,0.2
SR180,0.2
SR181,0.2
SR182,0.2
SR183,0.2
SR184,0.2
SR185,0.2
SR186,0.2
SR187,0.1
SR188,0.2
SR189,0.1
SR190,0.1
SR191,0.1
SR192,0.1
SR193,0.2
SR194,0.1
SR195,0.2
SR196,0.1
SR197,0.1
SR198,0.1
SR199,0.1
SR200,0.1
SR201,0.1
SR202,0.1
SR203,0.1
SR204,0.1
SR205,0.1
SR206,0.2
SR207,0.2
SR208,0.3
SR209,0.3
SR210,0.3
SR211,0.3
SR212,0.3
SR213,0.4
SR214,0.4
SR215,0.4
SR216,0.4
SR217,0.5
SR218,0.5
SR219,0.5
SR220,0.5
SR221,0.6
SR222,0.5
SR223,0.6
SR224,0.6
SR225,0.6
SR226,0.6
SR227,0.5
SR228,0.5
SR229,0.4
SR230,0.3
SR231,0.3
SR232,0.3
SR233,0.3
SR234,0.4
SR235,0.5
SR236,0.4
SR237,0.5
SR238,0.5
SR239,0.5
SR240,0.5
SR241,0.5
SR242,0.5
SR243,0.6
SR244,0.6
SR245,0.5
SR246,0.6
SR247,0.5
SR248,0.5
SR249,0.4
SR250,0.4
SR251,0.4
SR252,0.4
SR253,0.4
SR254,0.4
SR255,0.4
SR256,0.3
SR257,0.4
SR258,0.3
SR259,0.2
SR260,-9999
SR261,0.1
SR262,0.3
SR263,0.4
SR264,0.4
SR265,0.4
SR266,0.4
SR267,0.4
SR268,0.3
SR269,0.3
SR270,0.2
SR271,0.2
SR272,0.2
SR273,0.2
SR274,0.2
SR275,0.2
SR276,0.2
SR277,0.2
SR278,0.2
SR279,0.2
SR280,0.2
SR281,0.2
SR282,0.2
SR283,0.2
SR284,0.2
SR285,0.2
SR286,0.2
SR287,0.2
SR288,0.2
SR289,0.2
SR290,0.2
SR291,0.2
SR292,0.2
SR293,0.2
SR294,0.2
SR295,0.2
SR296,0.2
SR297,0.2
SR298,0.1
SR299,0.2
SR300,0.2
SR301,0.1
SR302,0.2
SR303,0.2
SR304,0.2
SR305,0.1
SR306,0.2
SR307,0.2
SR308,0.2
SR309,0.2
SR310,0.2
SR311,0.2
SR312,0.1
SR313,0.1
SR314,0.1
SR315,0.2
SR316,0.2
SR317,0.2
SR318,0.2
SR319,0.2
SR320,0.1
SR321,0.2
SR322,0.2
SR323,0.1
SR324,0.2
SR325,0.1
SR326,0.2
SR327,0.1
SR328,0.1
SR329,0.1
SR330,0.1
SR331,0.1
SR332,0.2
SR333,0.2
SR334,0.1
SR335,0.1
SR336,0.1
SR337,0.2
SR338,0.1
SR339,0.1
SR340,0.1
SR341,0.1
SR342,0.1
SR343,0.1
SR344,0.1
SR345,0.1
SR346,0.2
SR347,0.1
SR348,0.2
SR349,0.2
SR350,0.2
SR351,0.2
SR352,0.2
SR353,0.3
SR354,0.2
SR355,0.2
SR356,0.3
SR357,0.3
SR358,0.3
SR359,0.3
SR360,0.3
SR361,0.4
SR362,0.4
SR363,0.5
SR364,0.5
SR365,0.5
SR366,0.6
SR367,0.6
SR368,0.6
SR369,0.5
SR370,0.5
SR371,0.6
SR372,0.5
SR373,0.6
SR374,0.6
SR375,0.6
SR376,0.5
SR377,0.5
SR378,0.6
SR379,0.6
SR380,0.5
SR381,0.6
SR382,0.6
SR383,0.5
SR384,0.5
SR385,0.5
SR386,0.5
SR387,0.6
SR388,0.5
SR389,0.5
SR390,0.5
SR391,0.5
SR392,0.5
SR393,0.5
SR394,0.4
SR395,0.4
SR396,0.4
SR397,0.4
SR398,0.4
SR399,0.3
SR400,0.3
SR401,0.3
SR402,0.3
SR403,0.4
SR404,0.3
SR405,0.3
SR406,0.3
SR407,0.3
SR408,0.3
SR409,0.3
SR410,0.3
SR411,0.2
SR412,0.2
SR413,0.2
SR414,0.2
SR415,0.2
SR416,0.1
SR417,0.2
SR418,0.2
SR419,0.2
SR420,0.1
SR421,0.1
SR422,0.2
SR423,0.2
SR424,0.2
SR425,0.2
SR426,0.2
SR427,0.2
SR428,0.1
SR429,0.2
SR430,0.2
SR431,0.1
SR432,0.1
SR433,0.2
SR434,0.2
SR435,0.2
SR436,0.2
SR437,0.2
SR438,0.2
SR439,0.2
SR440,0.2
SR441,0.2
SR442,0.1
SR443,0.2
SR444,0.2
SR445,0.2
SR446,0.1
SR447,0.2
SR448,0.2
SR449,0.2
SR450,0.2
SR451,0.2
SR452,0.2
SR453,0.2
SR454,0.2
SR455,0.2
SR456,0.2
SR457,0.2
SR458,0.1
SR459,0.2
SR460,0.2
SR461,0.1
SR462,0.2
SR463,0.1
SR464,0.2
SR465,0.2
SR466,0.2
SR467,0.1
SR468,0.2
SR469,0.2
SR470,0.2
SR471,0.2
SR472,0.2
SR473,0.2
SR474,0.1
SR475,0.2
SR476,0.2
SR477,0.1
SR478,0.1
SR479,0.1
SR480,0.1
SR481,0.2
SR482,0.1
SR483,0.1
SR484,0.2
SR485,0.2
SR486,0.2
SR487,0.2
SR488,0.2
SR489,0.2
SR490,0.2
SR491,0.1
SR492,0.2
SR493,0.2
SR494,0.2
SR495,0.3
SR496,0.2
SR497,0.2
SR498,0.2
SR499,0.2
SR500,0.3
SR501,0.4
SR502,0.2
SR503,-9999
SR504,0
SR505,0
SR506,0.1
SR507,0.1
SR508,0.1
SR509,0.1
SR510,0.1
SR511,0.2
SR512,0.2
SR513,0.3
SR514,0.2
SR515,0.2
SR516,0.2
SR517,0.3
SR518,0.3
SR519,0.3
SR520,0.3
SR521,0.3
SR522,0.4
SR523,0.4
SR524,0.4
SR525,0.4
SR526,0.3
SR527,0.2
SR528,0.2
SR529,0.2
SR530,0.2
SR531,0.2
SR532,0.2
SR533,0.2
SR534,0.3
SR535,0.3
SR536,0.3
SR537,0.3
SR538,0.3
SR539,0.3
SR540,0.2
SR541,0.3
SR542,0.2
SR543,0.2
SR544,0.2
SR545,0.2
SR546,0.1
SR547,0.2
SR548,0.2
SR549,0.1
SR550,0.1
SR551,0.2
SR552,0.2
SR553,0.1
SR554,0.1
SR555,0.5
SR556,0.9
SR557,1
SR558,1
SR559,1
SR560,0.9
SR561,0.8
SR562,0.7
SR563,0.6
SR564,0.6
SR565,0.5
SR566,0.5
SR567,0.5
SR568,0.4
SR569,0.4
SR570,0.3
SR571,0.3
SR572,0.3
SR573,0.3
SR574,0.3
SR575,0.3
SR576,0.2
SR577,0.3
SR578,0.3
SR579,0.2
SR580,0.2
SR581,0.2
SR582,0.2
SR583,0.2
SR584,0.2
SR585,0.2
SR586,0.2
SR587,0.2
SR588,0.2
SR589,0.2
SR590,0.2
SR591,0.2
SR592,0.2
SR593,0.2
SR594,0.2
SR595,0.2
SR596,0.2
SR597,0.2
SR598,0.2
SR599,0.2
SR600,0.2
SR601,0.2
SR602,0.2
SR603,0.2
SR604,0.2
SR605,0.2
SR606,0.2
SR607,0.2
SR608,0.2
SR609,0.2
SR610,0.2
SR611,0.2
SR612,0.2
SR613,0.2
SR614,0.2
SR615,0.2
SR616,0.2
SR617,0.2
SR618,0.2
SR619,0.2
SR620,0.2
SR621,0.2
SR622,0.2
SR623,0.1
SR624,0.2
SR625,0.2
SR626,0.2
SR627,0.2
SR628,0.2
SR629,0.2
SR630,0.2
SR631,0.2
SR632,0.2
SR633,0.2
SR634,0.2
SR635,0.2
SR636,0.2
SR637,0.2
SR638,0.2
SR639,0.2
SR640,0.2
SR641,0.2
SR642,0.2
SR643,0.2
SR644,0.2
SR645,0.3
SR646,0.4
SR647,0.4
SR648,0.4
SR649,0.5
SR650,0.5
SR651,0.5
SR652,0.6
SR653,0.3
SR654,0.1
SR655,0.1
SR656,0.1
SR657,0.1
SR658,0.1
SR659,0.1
SR660,0.1
SR661,0.1
SR662,0.1
SR663,0.1
SR664,-9999
SR665,0.2
SR666,0.1
SR667,0.2
SR668,0.1
SR669,0.2
SR670,0.2
SR671,0.2
SR672,0.2
SR673,0.2
SR674,0.2
SR675,0.2
SR676,0.1
SR677,0.2
SR678,0.2
SR679,0.2
SR680,0.1
SR681,0.1
SR682,0.1
SR683,0.1
SR684,0.1
SR685,0.1
SR686,0.1
SR687,0.1
SR688,0.1
SR689,0.1
SR690,114.4
SR691,163
SR692,131
SR693,79.1
SR694,88.6
SR695,96.9
SR696,117.2
SR697,60.8
SR698,394.8
SR699,645.2
SR700,666.8
SR701,455.9
SR702,126.2
SR703,449.1
SR704,41.5
SR705,29.2
SR706,16.9
SR707,4.4
SR708,1.1
SR709,366.7
SR710,305.1
SR711,231.3
SR712,394.7
SR713,549.9
SR714,289.9
SR715,400.9
SR716,565.7
SR717,473.9
SR718,533
SR719,433.6
SR720,234.3
SR721,203.8
SR722,409.9
SR723,178.1
SR724,307.1
SR725,490.1
SR726,285.1
SR727,293.3
SR728,690.1
SR729,338.7
SR730,279.1
SR731,107.1
SR732,262.8
SR733,126.6
SR734,249.4
SR735,235.8
SR736,220.1
SR737,300.8
SR738,347.5
SR739,275.2
SR740,208.3
SR741,150.5
SR742,123.3
SR743,195.7
SR744,156.7
SR745,91.8
SR746,44.2
SR747,37.7
SR748,13.5
SR749,4.3
SR750,1.5
SR751,0.4
SR752,0.3
SR753,0.5
SR754,0.1
SR755,0.6
SR756,0.5
SR757,0.2
SR758,0.8
SR759,0.6
SR760,0.3
SR761,0.8
SR762,0.9
SR763,0.5
SR764,0.9
SR765,1.5
SR766,1.7
SR767,1.7
SR768,1
SR769,1.5
SR770,1.8
SR771,1
SR772,1.1
SR773,1.2
SR774,1.6
SR775,1.6
SR776,1.5
SR777,2.7
SR778,2.3
SR779,1.6
SR780,1.2
SR781,1
SR782,1.3
SR783,1.2
SR784,1.3
SR785,1.1
SR786,1.1
SR787,1.4
SR788,1.7
SR789,1.1
SR790,0.9
SR791,0.8
SR792,0.8
SR793,0.8
SR794,0.6
SR795,1.1
SR796,0.9
SR797,0.9
SR798,0.6
SR799,0.6
SR800,0.6
SR801,0.8
SR802,0.8
SR803,0.8
SR804,0.6
SR805,0.7
SR806,0.6
SR807,0.7
SR808,0.5
SR809,0.6
SR810,0.8
SR811,0.7
SR812,0.7
SR813,0.6
SR814,0.6
SR815,0.9
SR816,0.7
SR817,0.6
SR818,0.5
SR819,0.8
SR820,0.6
SR821,1.2
SR822,4.6
SR823,16.8
SR824,31.3
SR825,52.7
SR826,84.2
SR827,129.6
SR828,180.5
SR829,227.8
SR830,272.6
SR831,317.9
SR832,361.4
SR833,415.2
SR834,475.5
SR835,525.3
SR836,591.9
SR837,578.4
SR838,535.4
SR839,737.4
SR840,805.4
SR841,588.5
SR842,389
SR843,710.2
SR844,666.6
SR845,907.1
SR846,939.1
SR847,811.1
SR848,682.4
SR849,791.3
SR850,776.8
SR851,848.1
SR852,820.3
SR853,932.5
SR854,1014.4
SR855,914.9
SR856,1130.9
SR857,698.3
SR858,643.8
SR859,596.6
SR860,474.9
SR861,860.2
SR862,705.4
SR863,763.4
SR864,484
SR865,858.2
SR866,597.2
SR867,809.7
SR868,720.5
SR869,982.4
SR870,914.9
SR871,990
SR872,922.6
SR873,672
SR874,769.7
SR875,387.5
SR876,642.9
SR877,576.5
SR878,615.6
SR879,638
SR880,510
SR881,534.4
SR882,345.3
SR883,420.1
SR884,356.5
SR885,291.2
SR886,244.7
SR887,189.2
SR888,104
SR889,93.4
SR890,50.3
SR891,35.9
SR892,23
SR893,11.1
SR894,2.8
SR895,0.6
SR896,0.4
SR897,0.2
SR898,0.9
SR899,0.6
SR900,0.8
SR901,0.9
SR902,1.1
SR903,1.2
SR904,0.7
SR905,0.7
SR906,0.6
SR907,0.8
SR908,0.7
SR909,0.7
SR910,0.6
SR911,0.6
SR912,0.6
SR913,0.7
SR914,0.8
SR915,0.6
SR916,0.8
SR917,0.6
SR918,0.5
SR919,0.6
SR920,0.5
SR921,0.4
SR922,0.5
SR923,0.5
SR924,0.7
SR925,0.8
SR926,0.6
SR927,0.8
SR928,0.8
SR929,0.7
SR930,0.7
SR931,0.8
SR932,0.8
SR933,0.6
SR934,0.7
SR935,0.9
SR936,0.7
SR937,0.6
SR938,0.7
SR939,0.6
SR940,0.6
SR941,0.6
SR942,0.7
SR943,0.6
SR944,0.7
SR945,0.6
SR946,0.5
SR947,0.6
SR948,0.7
SR949,0.8
SR950,0.7
SR951,0.6
SR952,0.6
SR953,0.8
SR954,0.7
SR955,0.8
SR956,0.9
SR957,0.7
SR958,0.8
SR959,0.6
SR960,0.8
SR961,0.9
SR962,0.6
SR963,0.6
SR964,0.7
SR965,0.8
SR966,3.2
SR967,13.9
SR968,26.6
SR969,47.3
SR970,86
SR971,120.3
SR972,155.4
SR973,200.1
SR974,237.4
SR975,279.5
SR976,281
SR977,269.2
SR978,424.8
SR979,442.1
SR980,435.9
SR981,474.6
SR982,597
SR983,654
SR984,681
SR985,730.5
SR986,762.5
SR987,749
SR988,836.7
SR989,850.2
SR990,878.9
SR991,892.3
SR992,903.8
SR993,920.9
SR994,971.7
SR995,989.3
SR996,977.4
SR997,1005.7
SR998,974.7
SR999,1009.6
SR1000,1027.2
SR1001,1009.7
SR1002,1001.6
SR1003,1002.3
SR1004,984.1
SR1005,983.6
SR1006,966.5
SR1007,983.7
SR1008,952.8
SR1009,904.1
SR1010,949.6
SR1011,961.2
SR1012,933.4
SR1013,825.4
SR1014,795.7
SR1015,784.4
SR1016,731.7
SR1017,655.1
SR1018,504.5
SR1019,510.5
SR1020,541.7
SR1021,511.9
SR1022,489.8
SR1023,459.6
SR1024,401.1
SR1025,332.6
SR1026,277.8
SR1027,237.7
SR1028,204
SR1029,187.2
SR1030,163.8
SR1031,149.6
SR1032,105.8
SR1033,66.9
SR1034,45.7
SR1035,35.9
SR1036,25.4
SR1037,16.7
SR1038,3.8
SR1039,0.9
SR1040,0.7
SR1041,0.5
SR1042,0.4
SR1043,0.6
SR1044,0.6
SR1045,0.7
SR1046,0.7
SR1047,0.5
SR1048,0.6
SR1049,0.5
SR1050,0.6
SR1051,0.6
SR1052,0.6
SR1053,0.6
SR1054,0.6
SR1055,0.7
SR1056,0.6
SR1057,0.5
SR1058,0.7
SR1059,0.7
SR1060,0.5
SR1061,0.5
SR1062,0.7
SR1063,0.7
SR1064,0.6
SR1065,0.6
SR1066,0.6
SR1067,0.7
SR1068,0.6
SR1069,0.7
SR1070,0.5
SR1071,0.5
SR1072,0.9
SR1073,0.7
SR1074,0.5
SR1075,0.7
SR1076,0.5
SR1077,0.7
SR1078,1.1
SR1079,0.8
SR1080,0.9
SR1081,0.8
SR1082,0.8
SR1083,1.1
SR1084,0.6
SR1085,0.7
SR1086,0.9
SR1087,0.8
SR1088,1.2
SR1089,1.1
SR1090,0.9
SR1091,0.8
SR1092,1.1
SR1093,0.7
SR1094,0.7
SR1095,0.6
SR1096,0.8
SR1097,0.8
SR1098,0.7
SR1099,0.6
SR1100,0.9
SR1101,0.9
SR1102,0.8
SR1103,0.5
SR1104,0.8
SR1105,0.7
SR1106,0.6
SR1107,0.6
SR1108,0.8
SR1109,1
SR1110,3.6
SR1111,16.9
SR1112,35
SR1113,55.2
SR1114,72.4
SR1115,93.1
SR1116,132.1
SR1117,136.4
SR1118,185
SR1119,256.6
SR1120,141
SR1121,130
SR1122,144.5
SR1123,308.6
SR1124,589.3
SR1125,416.2
SR1126,443
SR1127,556.9
SR1128,574.5
SR1129,490.2
SR1130,429.5
SR1131,627.5
SR1132,508.6
SR1133,588.3
SR1134,939.7
SR1135,844.1
SR1136,950.9
SR1137,971.5
SR1138,975
SR1139,884.4
SR1140,973
SR1141,989.8
SR1142,816.1
SR1143,737.4
SR1144,801
SR1145,848.9
SR1146,852.8
SR1147,939.1
SR1148,981.2
SR1149,927.5
SR1150,922.4
SR1151,879.6
SR1152,680.6
SR1153,712.4
SR1154,605.8
SR1155,719.4
SR1156,800.2
SR1157,823.4
SR1158,786.3
SR1159,805.6
SR1160,750.2
SR1161,683.9
SR1162,689.8
SR1163,634.4
SR1164,392.2
SR1165,307.9
SR1166,286.4
SR1167,326
