id_temperature,nilai_temperature
TR1,26.4
TR2,26.1
TR3,26.1
TR4,26.1
TR5,26.1
TR6,26.5
TR7,26.9
TR8,27.2
TR9,27.4
TR10,27.6
TR11,27.8
TR12,27.9
TR13,28.1
TR14,28.2
TR15,28.3
TR16,28.4
TR17,28.5
TR18,28.6
TR19,28.7
TR20,28.7
TR21,28.8
TR22,28.8
TR23,28.8
TR24,28.8
TR25,28.9
TR26,28.9
TR27,28.9
TR28,28.9
TR29,28.9
TR30,28.9
TR31,29
TR32,28.9
TR33,28.9
TR34,29
TR35,28.9
TR36,28.9
TR37,28.9
TR38,28.9
TR39,28.9
TR40,28.9
TR41,28.9
TR42,28.9
TR43,28.9
TR44,28.9
TR45,28.8
TR46,28.8
TR47,28.8
TR48,28.9
TR49,28.8
TR50,28.8
TR51,28.8
TR52,28.8
TR53,28.9
TR54,28.8
TR55,28.8
TR56,28.8
TR57,28.8
TR58,28.8
TR59,28.8
TR60,26.5
TR61,26.1
TR62,26.1
TR63,26.1
TR64,28.8
TR65,29
TR66,28.9
TR67,28.9
TR68,28.9
TR69,28.9
TR70,29
TR71,29.1
TR72,29.2
TR73,29.2
TR74,29.3
TR75,29.4
TR76,29.5
TR77,29.7
TR78,29.8
TR79,30
TR80,30.2
TR81,30.4
TR82,30.5
TR83,30.6
TR84,30.7
TR85,30.9
TR86,31
TR87,31.1
TR88,31.3
TR89,31.5
TR90,31.6
TR91,31.8
TR92,31.8
TR93,31.8
TR94,31.7
TR95,31.7
TR96,31.7
TR97,31.8
TR98,31.9
TR99,32.1
TR100,32.3
TR101,32.4
TR102,32.6
TR103,32.7
TR104,32.7
TR105,32.8
TR106,32.9
TR107,32.9
TR108,32.9
TR109,32.9
TR110,32.9
TR111,32.9
TR112,32.9
TR113,33
TR114,33
TR115,32.9
TR116,32.9
TR117,32.8
TR118,32.8
TR119,32.8
TR120,32.7
TR121,32.7
TR122,32.7
TR123,32.6
TR124,32.5
TR125,32.5
TR126,32.4
TR127,32.3
TR128,32.2
TR129,32.1
TR130,32.1
TR131,32
TR132,31.9
TR133,31.8
TR134,31.7
TR135,31.7
TR136,31.6
TR137,31.6
TR138,31.5
TR139,31.5
TR140,31.4
TR141,31.4
TR142,31.3
TR143,31.3
TR144,31.2
TR145,31.1
TR146,31.1
TR147,31.1
TR148,31
TR149,31
TR150,30.9
TR151,30.9
TR152,30.9
TR153,30.8
TR154,30.8
TR155,30.8
TR156,30.7
TR157,30.7
TR158,30.6
TR159,30.6
TR160,30.5
TR161,30.5
TR162,30.4
TR163,30.4
TR164,30.4
TR165,30.3
TR166,30.3
TR167,30.2
TR168,30.2
TR169,30.1
TR170,30.1
TR171,30.1
TR172,30.1
TR173,30.1
TR174,30
TR175,30
TR176,30
TR177,30
TR178,30
TR179,30
TR180,30
TR181,29.9
TR182,29.9
TR183,29.9
TR184,29.9
TR185,29.8
TR186,29.8
TR187,29.7
TR188,29.7
TR189,29.7
TR190,29.6
TR191,29.6
TR192,29.6
TR193,29.5
TR194,29.5
TR195,29.5
TR196,29.4
TR197,29.4
TR198,29.4
TR199,29.3
TR200,29.3
TR201,29.3
TR202,29.2
TR203,29.2
TR204,29.1
TR205,29.1
TR206,29.1
TR207,29.2
TR208,29.5
TR209,29.8
TR210,29.6
TR211,29.5
TR212,29.6
TR213,29.7
TR214,29.9
TR215,30
TR216,30.1
TR217,30.3
TR218,30.4
TR219,30.6
TR220,30.7
TR221,30.9
TR222,31
TR223,31.2
TR224,31.3
TR225,31.5
TR226,31.6
TR227,31.7
TR228,31.8
TR229,31.9
TR230,31.9
TR231,31.9
TR232,31.9
TR233,31.9
TR234,32
TR235,32.2
TR236,32.3
TR237,32.4
TR238,32.5
TR239,32.7
TR240,32.8
TR241,32.9
TR242,33
TR243,33.2
TR244,33.2
TR245,33.3
TR246,33.5
TR247,33.5
TR248,33.6
TR249,33.6
TR250,33.7
TR251,33.7
TR252,33.7
TR253,33.7
TR254,33.7
TR255,33.7
TR256,33.7
TR257,33.7
TR258,33.9
TR259,33.2
TR260,31.7
TR261,31.2
TR262,31.7
TR263,32.1
TR264,32.3
TR265,32.4
TR266,32.4
TR267,32.5
TR268,32.5
TR269,32.4
TR270,32.4
TR271,32.3
TR272,32.3
TR273,32.2
TR274,32.2
TR275,32.1
TR276,32.1
TR277,32
TR278,31.9
TR279,31.9
TR280,31.8
TR281,31.8
TR282,31.8
TR283,31.7
TR284,31.7
TR285,31.6
TR286,31.6
TR287,31.5
TR288,31.5
TR289,31.4
TR290,31.4
TR291,31.4
TR292,31.4
TR293,31.3
TR294,31.3
TR295,31.3
TR296,31.2
TR297,31.2
TR298,31.1
TR299,31.1
TR300,31
TR301,31
TR302,30.9
TR303,30.9
TR304,30.8
TR305,30.8
TR306,30.7
TR307,30.7
TR308,30.7
TR309,30.6
TR310,30.6
TR311,30.5
TR312,30.5
TR313,30.4
TR314,30.4
TR315,30.3
TR316,30.3
TR317,30.3
TR318,30.2
TR319,30.2
TR320,30.2
TR321,30.1
TR322,30.1
TR323,30.1
TR324,30.1
TR325,30
TR326,30
TR327,29.9
TR328,29.9
TR329,29.9
TR330,29.9
TR331,29.8
TR332,29.8
TR333,29.7
TR334,29.7
TR335,29.7
TR336,29.6
TR337,29.6
TR338,29.6
TR339,29.5
TR340,29.5
TR341,29.5
TR342,29.5
TR343,29.4
TR344,29.4
TR345,29.4
TR346,29.3
TR347,29.3
TR348,29.3
TR349,29.3
TR350,29.5
TR351,29.7
TR352,29.8
TR353,30.1
TR354,29.8
TR355,29.8
TR356,29.8
TR357,29.9
TR358,30
TR359,30.1
TR360,30.2
TR361,30.3
TR362,30.5
TR363,30.6
TR364,30.8
TR365,30.9
TR366,31
TR367,31.2
TR368,31.4
TR369,31.5
TR370,31.6
TR371,31.7
TR372,31.9
TR373,32
TR374,32.1
TR375,32.3
TR376,32.4
TR377,32.5
TR378,32.6
TR379,32.7
TR380,32.9
TR381,33
TR382,33.1
TR383,33.2
TR384,33.3
TR385,33.4
TR386,33.5
TR387,33.6
TR388,33.6
TR389,33.7
TR390,33.8
TR391,33.9
TR392,33.9
TR393,34
TR394,34
TR395,34
TR396,34
TR397,34
TR398,34
TR399,34
TR400,34
TR401,34
TR402,33.9
TR403,33.9
TR404,33.9
TR405,33.9
TR406,33.9
TR407,33.9
TR408,33.8
TR409,33.8
TR410,33.7
TR411,33.7
TR412,33.6
TR413,33.5
TR414,33.4
TR415,33.3
TR416,33.2
TR417,33.1
TR418,33
TR419,32.9
TR420,32.8
TR421,32.7
TR422,32.7
TR423,32.6
TR424,32.5
TR425,32.4
TR426,32.3
TR427,32.3
TR428,32.2
TR429,32.1
TR430,32.1
TR431,32
TR432,31.9
TR433,31.9
TR434,31.8
TR435,31.8
TR436,31.7
TR437,31.7
TR438,31.6
TR439,31.6
TR440,31.5
TR441,31.5
TR442,31.4
TR443,31.4
TR444,31.3
TR445,31.3
TR446,31.3
TR447,31.2
TR448,31.2
TR449,31.2
TR450,31.1
TR451,31.1
TR452,31.1
TR453,31
TR454,31
TR455,30.9
TR456,30.9
TR457,30.9
TR458,30.8
TR459,30.8
TR460,30.7
TR461,30.7
TR462,30.7
TR463,30.7
TR464,30.6
TR465,30.6
TR466,30.6
TR467,30.6
TR468,30.5
TR469,30.5
TR470,30.5
TR471,30.5
TR472,30.5
TR473,30.4
TR474,30.4
TR475,30.4
TR476,30.4
TR477,30.3
TR478,30.3
TR479,30.3
TR480,30.2
TR481,30.2
TR482,30.2
TR483,30.2
TR484,30.1
TR485,30.1
TR486,30.1
TR487,30
TR488,30
TR489,30
TR490,30
TR491,29.9
TR492,29.9
TR493,30
TR494,30.1
TR495,30.3
TR496,30.6
TR497,30.8
TR498,30.5
TR499,30.4
TR500,30.5
TR501,30.7
TR502,30.5
TR503,29.4
TR504,28.8
TR505,28.5
TR506,28.1
TR507,27.7
TR508,27.5
TR509,27.3
TR510,27.1
