id_wind_d,nilai_wind_d
WD1,284
WD2,284.4
WD3,284.4
WD4,41.8
WD5,43.2
WD6,43.2
WD7,43.2
WD8,43.2
WD9,43.2
WD10,43.2
WD11,43.2
WD12,43.2
WD13,43.2
WD14,43.2
WD15,43.2
WD16,43.2
WD17,43.2
WD18,43.2
WD19,43.2
WD20,43.2
WD21,43.2
WD22,43.3
WD23,43.3
WD24,43.3
WD25,43.2
WD26,43.2
WD27,43.2
WD28,43.2
WD29,43.2
WD30,43.2
WD31,43.2
WD32,43.2
WD33,43.2
WD34,43.2
WD35,43.2
WD36,43.2
WD37,43.1
WD38,43.1
WD39,43.2
WD40,43.1
WD41,43.2
WD42,43.2
WD43,43.1
WD44,43.2
WD45,43.2
WD46,43.2
WD47,43.2
WD48,43.2
WD49,43.1
WD50,43.2
WD51,43.2
WD52,43.2
WD53,43.2
WD54,43.2
WD55,43.2
WD56,43.1
WD57,43.2
WD58,43.2
WD59,43.2
WD60,284.4
WD61,284.4
WD62,284.4
WD63,284.4
WD64,43.2
WD65,43.2
WD66,43.2
WD67,43.2
WD68,43.2
WD69,43.2
WD70,43.2
WD71,43.1
WD72,43.2
WD73,43.2
WD74,43.2
WD75,43.2
WD76,43.2
WD77,43.2
WD78,43.2
WD79,43.2
WD80,43.2
WD81,43.2
WD82,43.2
WD83,43.1
WD84,43.2
WD85,43.2
WD86,43.2
WD87,43.2
WD88,43.2
WD89,43.2
WD90,43.2
WD91,43.2
WD92,43.2
WD93,43.3
WD94,43.4
WD95,43.4
WD96,43.4
WD97,43.4
WD98,43.5
WD99,43.5
WD100,43.5
WD101,43.5
WD102,43.6
WD103,43.5
WD104,43.5
WD105,43.5
WD106,43.5
WD107,43.5
WD108,43.5
WD109,43.5
WD110,43.6
WD111,43.6
WD112,43.5
WD113,43.6
WD114,43.5
WD115,43.6
WD116,43.5
WD117,43.5
WD118,43.5
WD119,43.6
WD120,43.5
WD121,43.6
WD122,43.5
WD123,43.5
WD124,43.5
WD125,43.5
WD126,43.6
WD127,43.5
WD128,43.5
WD129,43.5
WD130,43.5
WD131,43.5
WD132,43.5
WD133,43.5
WD134,43.5
WD135,43.5
WD136,43.5
WD137,43.5
WD138,43.5
WD139,43.5
WD140,43.5
WD141,43.5
WD142,43.5
WD143,43.5
WD144,43.5
WD145,43.5
WD146,43.5
WD147,43.5
WD148,43.5
WD149,43.6
WD150,43.5
WD151,43.5
WD152,43.5
WD153,43.5
WD154,43.5
WD155,43.5
WD156,43.5
WD157,43.5
WD158,43.5
WD159,43.5
WD160,43.5
WD161,43.5
WD162,43.5
WD163,43.5
WD164,43.5
WD165,43.5
WD166,43.5
WD167,43.5
WD168,43.5
WD169,43.5
WD170,43.5
WD171,43.5
WD172,43.5
WD173,43.5
WD174,43.5
WD175,43.5
WD176,43.5
WD177,43.5
WD178,43.5
WD179,43.5
WD180,43.5
WD181,43.5
WD182,43.5
WD183,43.5
WD184,43.5
WD185,43.5
WD186,43.5
WD187,43.5
WD188,43.5
WD189,43.5
WD190,43.5
WD191,43.5
WD192,43.5
WD193,43.5
WD194,43.5
WD195,43.5
WD196,43.5
WD197,43.5
WD198,43.5
WD199,43.5
WD200,43.5
WD201,43.5
WD202,43.5
WD203,43.5
WD204,43.5
WD205,43.5
WD206,43.5
WD207,43.5
WD208,43.5
WD209,43.5
WD210,43.5
WD211,43.5
WD212,43.5
WD213,43.5
WD214,43.5
WD215,43.5
WD216,43.5
WD217,43.5
WD218,43.5
WD219,43.5
WD220,43.5
WD221,43.5
WD222,43.5
WD223,43.5
WD224,43.5
WD225,43.5
WD226,43.5
WD227,43.5
WD228,43.5
WD229,43.5
WD230,43.5
WD231,43.6
WD232,43.5
WD233,43.5
WD234,43.6
WD235,43.5
WD236,43.5
WD237,43.5
WD238,43.5
WD239,43.5
WD240,43.5
WD241,43.5
WD242,43.5
WD243,43.6
WD244,43.5
WD245,43.6
WD246,43.6
WD247,43.6
WD248,43.5
WD249,43.5
WD250,43.5
WD251,43.5
WD252,43.6
WD253,43.5
WD254,43.5
WD255,43.6
WD256,43.6
WD257,43.6
WD258,43.5
WD259,43.5
WD260,43.5
WD261,43.6
WD262,43.5
WD263,43.5
WD264,43.6
WD265,43.6
WD266,43.6
WD267,43.6
WD268,43.6
WD269,43.5
WD270,43.5
WD271,43.5
WD272,43.6
WD273,43.5
WD274,43.6
WD275,43.5
WD276,43.6
WD277,43.5
WD278,43.6
WD279,43.5
WD280,43.5
WD281,43.5
WD282,43.5
WD283,43.6
WD284,43.5
WD285,43.5
WD286,43.5
WD287,43.5
WD288,43.5
WD289,43.5
WD290,43.5
WD291,43.6
WD292,43.5
WD293,43.5
WD294,43.5
WD295,43.5
WD296,43.5
WD297,43.5
WD298,43.5
WD299,43.5
WD300,43.5
WD301,43.5
WD302,43.5
WD303,43.5
WD304,43.5
WD305,43.5
WD306,43.5
WD307,43.5
WD308,43.5
WD309,43.5
WD310,43.5
WD311,43.5
WD312,43.5
WD313,43.5
WD314,43.5
WD315,43.5
WD316,43.5
WD317,43.5
WD318,43.5
WD319,43.5
WD320,43.5
WD321,43.5
WD322,43.5
WD323,43.5
WD324,43.5
WD325,43.5
WD326,43.5
WD327,43.5
WD328,43.5
WD329,43.5
WD330,43.5
WD331,43.5
WD332,43.5
WD333,43.5
WD334,43.5
WD335,43.5
WD336,43.5
WD337,43.5
WD338,43.5
WD339,43.5
WD340,43.5
WD341,43.5
WD342,43.5
WD343,43.5
WD344,43.5
WD345,43.5
WD346,43.5
WD347,43.5
WD348,43.5
WD349,43.5
WD350,43.5
WD351,43.5
WD352,43.5
WD353,43.5
WD354,43.5
WD355,43.5
WD356,43.5
WD357,43.5
WD358,43.5
WD359,43.5
WD360,43.5
WD361,43.5
WD362,43.5
WD363,43.5
WD364,43.5
WD365,43.5
WD366,43.5
WD367,43.5
WD368,43.5
WD369,43.6
WD370,43.5
WD371,43.5
WD372,43.6
WD373,43.5
WD374,43.5
WD375,43.5
WD376,43.6
WD377,43.6
WD378,43.5
WD379,43.5
WD380,43.5
WD381,43.5
WD382,43.5
WD383,43.5
WD384,43.6
WD385,43.6
WD386,43.5
WD387,43.6
WD388,43.6
WD389,43.6
WD390,43.6
WD391,43.6
WD392,43.5
WD393,43.6
WD394,43.6
WD395,43.5
WD396,43.6
WD397,43.5
WD398,43.6
WD399,43.6
WD400,43.6
WD401,43.6
WD402,43.6
WD403,43.6
WD404,43.6
WD405,43.6
WD406,43.5
WD407,43.6
WD408,43.6
WD409,43.5
WD410,43.5
WD411,43.6
WD412,43.6
WD413,43.5
WD414,43.5
WD415,43.5
WD416,43.5
WD417,43.5
WD418,43.5
WD419,43.5
WD420,43.5
WD421,43.5
WD422,43.5
WD423,43.5
WD424,43.5
WD425,43.5
WD426,43.6
WD427,43.5
WD428,43.5
WD429,43.5
WD430,43.5
WD431,43.5
WD432,43.5
WD433,43.5
WD434,43.5
WD435,43.5
WD436,43.6
WD437,43.5
WD438,43.5
WD439,43.5
WD440,43.5
WD441,43.5
WD442,43.5
WD443,43.5
WD444,43.5
WD445,43.5
WD446,43.5
WD447,43.5
WD448,43.5
WD449,43.5
WD450,43.5
WD451,43.5
WD452,43.5
WD453,43.5
WD454,43.5
WD455,43.5
WD456,43.5
WD457,43.5
WD458,43.5
WD459,43.5
WD460,43.5
WD461,43.5
WD462,43.5
WD463,43.5
WD464,43.5
WD465,43.5
WD466,43.5
WD467,43.5
WD468,43.5
WD469,43.5
